A,http://en.wikipedia.org/wiki/A
ATP World Tour Masters 1000,http://en.wikipedia.org/wiki/ATP_World_Tour_Masters_1000
A cappella,http://en.wikipedia.org/wiki/A_cappella
A Coruña,http://en.wikipedia.org/wiki/A_Coru%C3%B1a
A Portuguesa,http://en.wikipedia.org/wiki/A_Portuguesa
A* search algorithm,http://en.wikipedia.org/wiki/A*_search_algorithm
A-Teens,http://en.wikipedia.org/wiki/A-Teens
A priori and a posteriori,http://en.wikipedia.org/wiki/A_priori_and_a_posteriori
Fairchild Republic A-10 Thunderbolt II,http://en.wikipedia.org/wiki/Fairchild_Republic_A-10_Thunderbolt_II
Douglas A-20 Havoc,http://en.wikipedia.org/wiki/Douglas_A-20_Havoc
A-League,http://en.wikipedia.org/wiki/A-League
A-side and B-side,http://en.wikipedia.org/wiki/A-side_and_B-side
The A-Team,http://en.wikipedia.org/wiki/The_A-Team
A. P. Moller-Maersk Group,http://en.wikipedia.org/wiki/A._P._Moller-Maersk_Group
A.I. Artificial Intelligence,http://en.wikipedia.org/wiki/A.I._Artificial_Intelligence
A1 Grand Prix,http://en.wikipedia.org/wiki/A1_Grand_Prix
Airbus A300,http://en.wikipedia.org/wiki/Airbus_A300
Airbus A310,http://en.wikipedia.org/wiki/Airbus_A310
Airbus A320 family,http://en.wikipedia.org/wiki/Airbus_A320_family
Airbus A330,http://en.wikipedia.org/wiki/Airbus_A330
Airbus A340,http://en.wikipedia.org/wiki/Airbus_A340
Airbus A400M,http://en.wikipedia.org/wiki/Airbus_A400M
Mitsubishi A6M Zero,http://en.wikipedia.org/wiki/Mitsubishi_A6M_Zero
ABC (medicine),http://en.wikipedia.org/wiki/ABC_(medicine)
ABS–CBN Corporation,http://en.wikipedia.org/wiki/ABS%E2%80%93CBN_Corporation
Lockheed AC-130,http://en.wikipedia.org/wiki/Lockheed_AC-130
ACT (test),http://en.wikipedia.org/wiki/ACT_(test)
ADHD predominantly inattentive,http://en.wikipedia.org/wiki/ADHD_predominantly_inattentive
ADO Den Haag,http://en.wikipedia.org/wiki/ADO_Den_Haag
2007 AFC Asian Cup,http://en.wikipedia.org/wiki/2007_AFC_Asian_Cup
AFC Asian Cup,http://en.wikipedia.org/wiki/AFC_Asian_Cup
AFC Women's Asian Cup,http://en.wikipedia.org/wiki/AFC_Women%27s_Asian_Cup
AFL-CIO,http://en.wikipedia.org/wiki/AFL-CIO
AGM-86 ALCM,http://en.wikipedia.org/wiki/AGM-86_ALCM
AGM-88 HARM,http://en.wikipedia.org/wiki/AGM-88_HARM
Bell AH-1 Cobra,http://en.wikipedia.org/wiki/Bell_AH-1_Cobra
AIBO,http://en.wikipedia.org/wiki/AIBO
AIK Fotboll,http://en.wikipedia.org/wiki/AIK_Fotboll
AIM-7 Sparrow,http://en.wikipedia.org/wiki/AIM-7_Sparrow
AK-74,http://en.wikipedia.org/wiki/AK-74
APOEL F.C.,http://en.wikipedia.org/wiki/APOEL_F.C.
ARPANET,http://en.wikipedia.org/wiki/ARPANET
AT&T,http://en.wikipedia.org/wiki/AT%26T
ATP World Tour Finals,http://en.wikipedia.org/wiki/ATP_World_Tour_Finals
ATR 42,http://en.wikipedia.org/wiki/ATR_42
ATR 72,http://en.wikipedia.org/wiki/ATR_72
AV idol,http://en.wikipedia.org/wiki/AV_idol
AWK,http://en.wikipedia.org/wiki/AWK
AZ (football club),http://en.wikipedia.org/wiki/AZ_(football_club)
AaB Fodbold,http://en.wikipedia.org/wiki/AaB_Fodbold
RWTH Aachen University,http://en.wikipedia.org/wiki/RWTH_Aachen_University
Aachen Cathedral,http://en.wikipedia.org/wiki/Aachen_Cathedral
Aachen,http://en.wikipedia.org/wiki/Aachen
Alemannia Aachen,http://en.wikipedia.org/wiki/Alemannia_Aachen
Aalborg,http://en.wikipedia.org/wiki/Aalborg
Aalen,http://en.wikipedia.org/wiki/Aalen
Ålesund,http://en.wikipedia.org/wiki/%C3%85lesund
Aaliyah,http://en.wikipedia.org/wiki/Aaliyah
"Aalst, Belgium","http://en.wikipedia.org/wiki/Aalst,_Belgium"
Alvar Aalto,http://en.wikipedia.org/wiki/Alvar_Aalto
Aang,http://en.wikipedia.org/wiki/Aang
Aar,http://en.wikipedia.org/wiki/Aar
Aarau,http://en.wikipedia.org/wiki/Aarau
Aardvark,http://en.wikipedia.org/wiki/Aardvark
Aardwolf,http://en.wikipedia.org/wiki/Aardwolf
Aargau,http://en.wikipedia.org/wiki/Aargau
Aarhus,http://en.wikipedia.org/wiki/Aarhus
Hank Aaron,http://en.wikipedia.org/wiki/Hank_Aaron
Ab Urbe Condita (book),http://en.wikipedia.org/wiki/Ab_Urbe_Condita_(book)
"Aba, Nigeria","http://en.wikipedia.org/wiki/Aba,_Nigeria"
Sani Abacha,http://en.wikipedia.org/wiki/Sani_Abacha
Abacus,http://en.wikipedia.org/wiki/Abacus
"Abadan, Iran","http://en.wikipedia.org/wiki/Abadan,_Iran"
Frank Abagnale,http://en.wikipedia.org/wiki/Frank_Abagnale
Abakan,http://en.wikipedia.org/wiki/Abakan
Abalone,http://en.wikipedia.org/wiki/Abalone
ABB Group,http://en.wikipedia.org/wiki/ABB_Group
ABBA,http://en.wikipedia.org/wiki/ABBA
Claudio Abbado,http://en.wikipedia.org/wiki/Claudio_Abbado
Abbas I of Persia,http://en.wikipedia.org/wiki/Abbas_I_of_Persia
Mahmoud Abbas,http://en.wikipedia.org/wiki/Mahmoud_Abbas
Abbasid Caliphate,http://en.wikipedia.org/wiki/Abbasid_Caliphate
Ernst Abbe,http://en.wikipedia.org/wiki/Ernst_Abbe
Abbeville,http://en.wikipedia.org/wiki/Abbeville
"Abbeville County, South Carolina","http://en.wikipedia.org/wiki/Abbeville_County,_South_Carolina"
Abbey,http://en.wikipedia.org/wiki/Abbey
Abbey Road,http://en.wikipedia.org/wiki/Abbey_Road
Abbey Road Studios,http://en.wikipedia.org/wiki/Abbey_Road_Studios
Abbey Theatre,http://en.wikipedia.org/wiki/Abbey_Theatre
Abbot,http://en.wikipedia.org/wiki/Abbot
"Abbotsford, British Columbia","http://en.wikipedia.org/wiki/Abbotsford,_British_Columbia"
Abbott and Costello,http://en.wikipedia.org/wiki/Abbott_and_Costello
Bud Abbott,http://en.wikipedia.org/wiki/Bud_Abbott
John Abbott,http://en.wikipedia.org/wiki/John_Abbott
Tony Abbott,http://en.wikipedia.org/wiki/Tony_Abbott
Abbreviation,http://en.wikipedia.org/wiki/Abbreviation
ABC (band),http://en.wikipedia.org/wiki/ABC_(band)
Abd al-Malik,http://en.wikipedia.org/wiki/Abd_al-Malik
Abd el-Krim,http://en.wikipedia.org/wiki/Abd_el-Krim
Abd-ar-Rahman III,http://en.wikipedia.org/wiki/Abd-ar-Rahman_III
Mohammed Abdel Wahab,http://en.wikipedia.org/wiki/Mohammed_Abdel_Wahab
Abdomen,http://en.wikipedia.org/wiki/Abdomen
Abdominal pain,http://en.wikipedia.org/wiki/Abdominal_pain
Muhammad Abduh,http://en.wikipedia.org/wiki/Muhammad_Abduh
Paula Abdul,http://en.wikipedia.org/wiki/Paula_Abdul
`Abdu'l-Bahá,http://en.wikipedia.org/wiki/%60Abdu%27l-Bah%C3%A1
Kareem Abdul-Jabbar,http://en.wikipedia.org/wiki/Kareem_Abdul-Jabbar
Abdülaziz,http://en.wikipedia.org/wiki/Abd%C3%BClaziz
Abdullah I of Jordan,http://en.wikipedia.org/wiki/Abdullah_I_of_Jordan
Abdullah II of Jordan,http://en.wikipedia.org/wiki/Abdullah_II_of_Jordan
Abdullah Ahmad Badawi,http://en.wikipedia.org/wiki/Abdullah_Ahmad_Badawi
Abdullah of Saudi Arabia,http://en.wikipedia.org/wiki/Abdullah_of_Saudi_Arabia
Abdülmecid I,http://en.wikipedia.org/wiki/Abd%C3%BClmecid_I
Shareef Abdur-Rahim,http://en.wikipedia.org/wiki/Shareef_Abdur-Rahim
Abdul Hamid II,http://en.wikipedia.org/wiki/Abdul_Hamid_II
Kōbō Abe,http://en.wikipedia.org/wiki/K%C5%8Db%C5%8D_Abe
Shinzō Abe,http://en.wikipedia.org/wiki/Shinz%C5%8D_Abe
Abel Prize,http://en.wikipedia.org/wiki/Abel_Prize
Niels Henrik Abel,http://en.wikipedia.org/wiki/Niels_Henrik_Abel
Peter Abelard,http://en.wikipedia.org/wiki/Peter_Abelard
Abelian group,http://en.wikipedia.org/wiki/Abelian_group
Abercrombie & Fitch,http://en.wikipedia.org/wiki/Abercrombie_%26_Fitch
Aberdeen Airport,http://en.wikipedia.org/wiki/Aberdeen_Airport
Aberdeen,http://en.wikipedia.org/wiki/Aberdeen
Aberdeen F.C.,http://en.wikipedia.org/wiki/Aberdeen_F.C.
"Aberdeen, South Dakota","http://en.wikipedia.org/wiki/Aberdeen,_South_Dakota"
University of Aberdeen,http://en.wikipedia.org/wiki/University_of_Aberdeen
"Aberdeen, Washington","http://en.wikipedia.org/wiki/Aberdeen,_Washington"
Aberdeenshire,http://en.wikipedia.org/wiki/Aberdeenshire
Aberration of light,http://en.wikipedia.org/wiki/Aberration_of_light
Aberystwyth,http://en.wikipedia.org/wiki/Aberystwyth
Abhidharma,http://en.wikipedia.org/wiki/Abhidharma
